Año;Número;Vendido en
1959;36600;Valencia
1958;33704;Madrid, La Coruña
1957;53414;Bilbao
1956;15640;Madrid, Zaragoza, Gijón y Sama de Langreo (Asturias), Sevilla
1955;50580;Bilbao
1954;53584;Madrid
1953;03270;Valencia
1952;25766;Madrid
1951;02704;Madrid, Málaga, Santander, Sevilla
1950;45749;Valencia
1949;55666;Madrid
1948;26664;Madrid
1947;35920;Barcelona
1946;45590;Barcelona, Madrid, Sevilla
1945;42587;Madrid
1944;33037;Barcelona
1943;34545;Barcelona, Cádiz, Madrid
1942;09029;Granada
1941;58856;Valencia
1940;43944;Madrid
1939;13093;Madrid
1938;36758;Málaga
1937;01165;Alicante, Bilbao, Irún (Guipúzcoa)
1936;05287;Madrid
1935;25888;Barcelona, Madrid
1934;02686;Castellón de la Plana, Santander
1933;07139;Alcira (Valencia), Bilbao, Sitges (Barcelona)
1932;29757;Barcelona, Madrid
1931;24717;Madrid
1930;24630;Valencia
1929;53453;Zaragoza
1928;06692;Madrid
1927;10123;Madrid
1926;17229;Madrid
1925;11519;Madrid
1924;15770;Madrid
1923;18398;Madrid
1922;46460;Barcelona
1921;28876;Barcelona
1920;09053;San Sebastián
1919;53452;Madrid
1918;05605;Linares (Jaén)
1917;02091;Santander
1916;19158;Madrid
1915;48685;Ferrol (La Coruña)
1914;50047;Ripoll (Gerona)
1913;18073;Madrid
1912;10644;Santander
1911;03884;Barcelona
1910;22101;San Sebastián
1909;24056;Madrid
1908;35819;Bilbao
1907;02048;Barcelona
1906;34746;Alicante
1905;32865;Barcelona
1904;15162;Valencia
1903;20297;La Coruña
1902;28038;Palma
1901;30565;Lérida
1900;25285;Alicante
1899;12515;Madrid
1898;52761;Barcelona
1897;13515;Madrid
1896;08669;Almería
1895;25444;Madrid
1894;08653;Burgos
1893;31892;Zaragoza
1892;40297;Palencia
1891;33558;Madrid
1890;15020;Madrid
1889;45400;Málaga
1888;04211;San Sebastián
1887;24566;Madrid
1886;06695;Palma
1885;45488;Gijón (Asturias)
1884;14292;Sevilla
1883;38608;Sevilla
1882;06679;Barcelona
1881;17057;Lérida
1880;35999;Badajoz
1879;25018;Barcelona
1878;06157;Cádiz
1877;12797;Madrid
1876;21690;Madrid
1875;07932;Barcelona
1874;09452;Barcelona
1873;10014;Sevilla
1872;16374;Palma
1871;09457;Barcelona
1870;09914;Barcelona
1869;18875;Granada
1868;04385;Sevilla
1867;14985;Sevilla
1866;00615;Madrid
1865;01603;Madrid
1864;18968;Madrid
1863;03224;Madrid
1862;04036;Burgos
1861;23033;Barcelona
1860;20563;Santander
1859;18400;Barcelona
1858;12085;Zaragoza
1857;02147;Madrid
1856;13094;Badajoz
1855;15406;Granada
1854;14938;Santander
1853;16673;Pamplona
1852;11528;Molina de Aragón (Guadalajara)
1851;12105;Logroño
1850;12223;Madrid
1849;12724;Barcelona
1848;01474;Santander
1847;13656;Valencia
1846;04457;Yecla (Murcia)
1845;13046;Cádiz
1844;07312;Cádiz
1843;09975;Palma
1842;05228;Málaga
1841;06585;Cádiz
1840;01660;Cádiz
1839;01833;Sevilla
1838;06094;Madrid
1837;10998;Jerez de la Frontera (Cádiz)
1836;07102;Barcelona
1835;07175;Cádiz
1834;09703;Madrid
1833;07589;Barcelona
1832;08318;Zaragoza
1831;01490;Algeciras (Cádiz)
1830;02652;Vitoria
1829;02127;Pamplona
1828;00523;Madrid
1827;06835;Madrid
1826;14544;Zaragoza
1825;09275;Madrid
1824;02124;Pamplona
1823;01879;Cádiz
1822;09311;Sevilla
1821;08364;Valladolid
1820;02457;Madrid
1819;15389;Zaragoza
1818;08705;Madrid
1817;32026;Barcelona
1816;34503;Madrid
1815;33466;Zaragoza
1814;23892;Bilbao
1813;08553;Cádiz
1812;03604;Cádiz
